,combined
77,"Burkina Faso.fermented legumes.Sumbala, Soumbala"
78,Burkina Faso.yogurt.Nunu
79,Burundi.alcoholic beverage.Impeke
80,Burundi.alcoholic beverage.Isongo
81,Burundi.alcoholic beverage.Urwarwa
82,Burundi.dairy product.Amateregua
83,Burundi.dairy product.Amavuta
84,Burundi.dairy product.Urubu
85,Burundi.fermented roots.Ikivunde
86,Burundi.fermented roots.Imikembe
87,Burundi.fermented roots.Inyange
88,Cambodia.fermented fish.Prahok
89,Cameroon.fermented roots.Kumkum
90,Canada.wine.Icewine
91,Chile.fermented fruit.Olives
92,Chile.fermented meat.Ch'arki
93,China.alcoholic beverage.Arrak
94,China.alcoholic beverage.Baijiu
95,China.alcoholic beverage.Chhaang
96,"China.alcoholic beverage.Chhaang, Chhyang, Lugri"
97,China.alcoholic beverage.Choujiu
98,China.alcoholic beverage.Huangjiu
99,China.alcoholic beverage.Kodo ko jaanr
100,China.alcoholic beverage.Lychee wine
101,China.alcoholic beverage.Shaoxing-jiu
102,"China.cheese.Chhu, Sheden"
103,China.cheese.Chhurpi
104,China.dairy product.Koumiss
105,China.dairy product.Kumis
106,China.dairy product.Philu
107,China.fermented cereal.Angkak
108,China.fermented cereal.Chee-fan
109,China.fermented cereal.Lao-chao
110,China.fermented cereal.Mantou
111,China.fermented cereal.Minchin
112,China.fermented legumes.Doubanjiang
113,China.fermented legumes.Douzhi
114,China.fermented legumes.Furu
115,China.fermented legumes.Meitauza
116,China.fermented legumes.Miso
117,China.fermented legumes.Stinky tofu
118,China.fermented legumes.Tauco
119,China.fermented legumes.Tianmianjiang
120,China.fermented legumes.Yandou
121,China.fermented meat.Bak kwa
122,China.fermented meat.Chilu
123,China.fermented meat.Faak kargyong
124,China.fermented meat.Kheuri
125,China.fermented meat.Lang kargyong
126,China.fermented vegetables.Chinese pickles
127,"China.fermented vegetables.Fermented Tea, Dark Tea"
128,China.fermented vegetables.Meigan cai
129,China.fermented vegetables.Pao cai
130,China.fermented vegetables.Suan-cai
131,China.fermented vegetables.Suancha
132,China.fermented vegetables.Yongfeng chili sauce
133,China.fermented vegetables.Zha cai
134,Colombia.alcoholic beverage.Colombian Champus
135,Congo.fermented cereal.Munkoyo
136,Congo.fermented cereal.Poto poto
137,Congo.fermented roots.Chikwangue
138,Croatia.cheese.Pag Island Cheese
139,Croatia.fermented vegetables.Sour cabbage
140,Cyprus.cheese.Anari
141,Cyprus.cheese.Halloumi
142,Cyprus.cheese.Kefalotyri
143,Cyprus.fermented cereal.Arkatena
144,Czechia.cheese.Olomouc cheese
145,Czechia.dairy product.Zincica
146,Côte d'Ivoire.fermented cereal.Kenkey
147,Côte d’Ivoire.alcoholic beverage.Tuba
148,Côte d’Ivoire.fermented roots.Attieke
149,Côte d’Ivoire.fermented roots.Placali
150,Denmark.cheese.Dana Blu
151,Ecuador.fermented cereal.Sierra rice
152,Egypt.alcoholic beverage.Kishk
153,Egypt.beer.Bouza
154,Egypt.dairy product.Laban rayeb
155,Egypt.fermented cereal.Boza
156,Egypt.fermented cereal.Egyptian Kishk
157,Egypt.fermented cereal.Jalebi
158,Egypt.fermented fish.Fesikh
159,El Salvador.fermented vegetables.Curtido
160,Eritrea.alcoholic beverage.Tej
161,Eritrea.fermented cereal.Injera
162,Estonia.fermented cereal.Kvass
163,Estonia.fermented cereal.Rukkileib
164,Ethiopia.alcoholic beverage.Tej
165,Ethiopia.beer.Tella
166,Ethiopia.fermented cereal.Injera
167,Ethiopia.fermented cereal.Jalebi
168,Ethiopia.fermented vegetables.kocho
169,Ethiopia.yogurt.Ergo
170,Fiji.fermented cereal.Jalebi
171,Finland.alcoholic beverage.Sima
172,Finland.beer.Sahti
173,Finland.cheese.Juustoleipä
174,Finland.dairy product.Piima
175,Finland.yogurt.Viili
176,France.alcoholic beverage.Cider
177,France.cheese.Angelot
178,France.cheese.Banon
179,France.cheese.Basque Pyrenees Mountain Cheeses
180,France.cheese.Beaufort
181,France.cheese.Bleu d'Auvergne
182,France.cheese.Bleu de Termignon
183,France.cheese.Brie
184,France.cheese.Camembert
185,France.cheese.Cantal
186,France.cheese.Carre de l'est
187,France.cheese.Comte
188,France.cheese.Demi-sel
189,France.cheese.Epoisses de Bourgogne
190,France.cheese.Faisselle
191,France.cheese.Fourme d'Ambert
192,France.cheese.Fourme de Montbrison
193,France.cheese.Laguiole
194,France.cheese.Langres
195,France.cheese.Mimolette (Boule de Lille)
196,France.cheese.Munster
197,France.cheese.Picodon
198,France.cheese.Poligny Saint Pierre
199,France.cheese.Pont-l'Évêque
200,France.cheese.Port Salut
201,France.cheese.Reblochon
202,France.cheese.Roquefort
203,France.cheese.Saint-Nectaire
204,France.cheese.Saint-Paulin
205,France.cheese.Sainte-Maure de Touraine
206,France.cheese.Selles-sur-Cher
207,France.cheese.Tomme de Savoie
208,France.cheese.Vacherin Mont-d'Or
209,France.dairy product.Creme fraiche
210,France.wine.Champagner
211,France.wine.Floc de Gascogne
212,France.wine.Maury
213,France.wine.Monbazillac
214,France.wine.Sauternes
215,Georgia.cheese.Sulguni
216,"Georgia.dairy product.Kaymak, Kajmak, Kaimak, Gemagh, Geymar"
217,Germany.cheese.Milbenkase
218,Germany.fermented cereal.Christstollen
219,Germany.fermented cereal.Lebkuchen
220,Germany.fermented meat.Mettwurst
221,Germany.fermented meat.Northern Hesse Ahle Wurscht
222,Germany.fermented meat.Teewurst
223,Germany.fermented vegetables.Sauerkraut
224,Germany.wine.Eiswein
225,Germany.wine.Spaetlese
226,Germany.wine.Trockenbeerenauslese
227,Ghana.Alcoholic beverage.Burukutu
228,Ghana.beer.Pito
229,Ghana.fermented cereal.Banku
230,Ghana.fermented cereal.Kenkey
231,Ghana.fermented cereal.Koko
232,Ghana.fermented cereal.Ogi
233,Ghana.fermented legumes.Dawadawa
234,Ghana.fermented roots.Agbelima
235,Ghana.fermented roots.Lafun
236,Ghana.yogurt.Nunu
237,Global.dairy product.Buttermilk
238,Greece.cheese.Feta
239,Greece.cheese.Graviera Agrafon
240,Greece.cheese.Graviera Kritis
241,Greece.cheese.Graviera Naxou
242,Greece.cheese.Kasseri
243,Greece.cheese.Kefalotyri
244,Greece.cheese.Kopanisti
245,"Greece.cheese.Manouri, Anthotyros, Mizithra"
246,"Greece.dairy product.Kaymak, Kajmak, Kaimak, Gemagh, Geymar"
247,Greece.fermented cereal.Eftazyma
248,Greece.fermented cereal.Trahana
249,Greece.fermented fruit.Olives
250,Greenland.fermented fish.Igunaq
251,Greenland.fermented meat.Kiviak
252,Guyana.fermented cereal.Kenkey
253,Haiti.fermented vegetables.Pikliz
254,"Hungary.cheese.Urdha, Urda, Vurda, Orda, Izvara, Zsendice"
255,Hungary.fermented meat.Winter salami
256,"Hungary.wine.Tokaji, Tokaj"
257,Iceland.alcoholic beverage.Blaand
258,Iceland.fermented fish.Hakarl
259,Iceland.fermented fish.Kaest skata
260,Iceland.yogurt.Skyr
261,India.alcoholic beverage.Arrak
262,India.alcoholic beverage.Atingba
263,India.alcoholic beverage.Bhaati jaanr
264,India.alcoholic beverage.Bhangchang
265,India.alcoholic beverage.Chhaang
266,"India.alcoholic beverage.Chhaang, Chhyang, Lugri"
267,India.alcoholic beverage.Chulli
268,India.alcoholic beverage.Daru
269,India.alcoholic beverage.Ennog
270,India.alcoholic beverage.Faapar ko jaanr
271,India.alcoholic beverage.Feni
272,"India.alcoholic beverage.Gahoon ko jaanr, Gahun ko jaanr"
273,"India.alcoholic beverage.Jao ko jaanr, Jaun ko jaanr"
274,India.alcoholic beverage.Jou
275,India.alcoholic beverage.Kodo ko jaanr
276,India.alcoholic beverage.Lohpani
277,India.alcoholic beverage.Makai ko jaanr
278,India.alcoholic beverage.Mingiri
279,India.alcoholic beverage.Nareli
280,India.alcoholic beverage.Nchiangne
281,India.alcoholic beverage.Pona
282,India.alcoholic beverage.Poro Apong
283,India.alcoholic beverage.Raksi
284,India.alcoholic beverage.Ruhi
285,India.alcoholic beverage.Simal tarul ko jaanr
286,India.alcoholic beverage.Sing sing
287,India.alcoholic beverage.Sura
288,India.alcoholic beverage.Tari
289,India.alcoholic beverage.Themsing
290,India.alcoholic beverage.Yu
291,India.alcoholic beverage.Zu
292,"India.alcoholic beverage.Zutho, Zhuchu"
293,"India.cheese.Chhu, Sheden"
294,India.cheese.Chhurpi
